headword,CEFR,CoreInventory 1,CoreInventory 2,Threshold,pos
a,A1,,,,determiner
a.m./A.M./am/AM,A1,,,,adverb
abandon,B1,,,,verb
abandoned,B2,,,,adjective
ability,A2,,,,noun
able,B1,,,,adjective
abnormal,B1,,,,adjective
abnormally,B2,,,,adverb
aboard,B1,,,,adverb
abolish,B2,,,,verb
aboriginal,B2,,,,adjective
aborigine,B1,Nationalities and countries,,,noun
about,A1,,,,adverb
about,A1,,,,preposition
above,B1,,,,adjective
above,A1,,,,adverb
above,A1,,,,preposition
abroad,A2,,,,adverb
abruptly,B2,,,,adverb
absence,B1,,,,noun
absent,B1,,,,adjective
absentee,B2,,,,noun
absolute,B1,,,,adjective
absolutely,B1,,,,adverb
absorb,B1,,,,verb
abstract,B1,,,,adjective
absurd,B2,,,,adjective
abundance,B1,,,,noun
abundant,B1,,,,adjective
abuse,B2,"News, lifestyles and current affairs",,,noun
academic,B1,,,,adjective
academy,B1,Education,,,noun
accent,B1,Education,,Education,noun
accept,A2,,,,verb
acceptable,A2,,,,adjective
acceptance,B1,,,,noun
access,B1,Ways of travelling,,Travel,noun
access,B2,,,,verb
accessibility,B2,,,,noun
accessible,B1,,,,adjective
accessory,B1,Shopping,,Shopping,noun
accident,A2,"News, lifestyles and current affairs",,Health and body care,noun
accidental,B1,,,,adjective
accidentally,B1,,,,adverb
accommodation,B2,Travel and services vocab,,Travel,noun
accompany,B1,,,,verb
accomplish,B1,,,,verb
according to,B1,,,,preposition
accordingly,B2,,,,adverb
account,A2,"Things in the town, shops and shopping",,Services,noun
account,B1,,,,verb
accountant,B1,Work and Jobs,,Personal identification,noun
accumulate,B2,,,,verb
accuracy,B1,,,,noun
accurate,B1,,,,adjective
accurately,B1,,,,adverb
accusation,B2,"News, lifestyles and current affairs",,,noun
accuse,B1,,,,verb
accustom,B1,,,,verb
ache,B1,Travel and services vocab,,Health and body care,noun
ache,B2,,,,verb
achievable,B2,,,,adjective
achieve,A2,,,,verb
achievement,B1,Education,,,noun
acid,B2,,,,noun
acknowledge,B1,,,,verb
acknowledgment/acknowledgement,B1,,,,noun
acquaintance,B1,Personal information,,,noun
acquire,B1,,,,verb
acquisition,B2,Education,,,noun
across,A2,,,,adverb
across,A2,,,,preposition
act,A2,Hobbies and pastimes,,"Free time, entertainment",noun
act,B1,,,,verb
action,A1,,,,noun
active,B1,,,,adjective
actively,B2,,,,adverb
activity,A1,Leisure activities,,"Free time, entertainment",noun
actor,A1,Work and Jobs,Film,Personal identification,noun
actress,B1,Work and Jobs,Film,Personal identification,noun
actual,B2,,,,adjective
actually,A2,,,,adverb
acute,B2,,,,adjective
ad,B1,Media,,,noun
adapt,B1,,,,verb
adaptable,B2,,,,adjective
add,A1,,,,verb
addict,B2,"News, lifestyles and current affairs",,,noun
addicted,B2,,,,adjective
addiction,B2,"News, lifestyles and current affairs",,,noun
addition,A2,Collocation,,Language,noun
additional,A2,,,,adjective
additionally,B2,,,,adverb
address,A1,Personal information,,Personal identification,noun
address,B1,,,,verb
addressee,B1,,,,noun
adequate,B2,,,,adjective
adequately,B2,,,,adverb
adjective,A2,Education,,Language,noun
adjust,A2,,,,verb
adjustment,B2,,,,noun
administration,B1,Travel and services vocab,,,noun
administrative,B2,,,,adjective
admirable,B2,,,,adjective
admiration,B1,,,,noun
admire,A2,,,,verb
admiringly,B2,,,,adverb
admission,B1,Education,,,noun
