Word,Lemmatized Instance,Page Number
saddleback,saddleback,1
lord,lord,1
what,what,1
fools,fool,1
these,these,1
mortals,mortal,1
be,be,1
some,some,1
playful,playful,1
fairies,fairy,1
decide,decide,1
to,to,1
make,make,1
mischief,mischief,1
with,with,1
unsuspecting,unsuspecting,1
humans,human,1
can,can,1
true,true,1
love,love,1
a,a,1
midsummer,midsummer,1
night,night,1
s,s,1
dream,dream,1
overcome,overcome,1
all,all,1
obstacles,obstacle,1
two,two,1
young,young,1
athenian,athenian,1
couples,couple,1
are,be,1
put,put,1
the,the,1
test,test,1
comedy,comedy,1
reigns,reign,1
in,in,1
this,this,1
enchanting,enchant,1
fantasy,fantasy,1
about,about,1
nature,nature,1
of,of,1
romantic,romantic,1
shakespeare,shakespeare,1
pm,pm,1
page,page,1
william,william,1
adapted,adapt,1
by,by,1
emily,emily,1
hutchinson,hutchinson,1
hamlet,hamlet,1
julius,julius,1
caesar,caesar,1
macbeth,macbeth,1
merchant,merchant,1
venice,venice,1
othello,othello,1
romeo,romeo,1
and,and,1
juliet,juliet,1
tempest,tempest,1
development,development,1
production,production,1
laurel,laurel,1
associates,associate,1
cover,cover,1
interior,interior,1
art,art,1
black,black,1
eagle,eagle,1
productions,production,1
three,three,1
watson,watson,1
irvine,irvine,1
ca,ca,1
info,info,1
website,website,1
copyright,copyright,1
educational,educational,1
publishing,publishing,1
rights,right,1
reserved,reserve,1
no,no,1
part,part,1
book,book,1
may,may,1
reproduced,reproduce,1
any,any,1
form,form,1
or,or,1
means,mean,1
electronic,electronic,1
mechanical,mechanical,1
including,include,1
photocopying,photocopy,1
recording,record,1
information,information,1
storage,storage,1
retrieval,retrieval,1
system,system,1
without,without,1
written,write,1
permission,permission,1
publisher,publisher,1
isbn,isbn,1
printed,print,1
united,united,1
states,state,1
america,america,1
contents,content,1
act,act,1
scene,scene,1
introduction,introduction,1
long,long,1
ago,ago,1
greece,greece,1
hermia,hermia,1
lysander,lysander,1
elope,elope,1
demetrius,demetrius,1
who,who,1
loves,love,1
follows,follow,1
them,them,1
into,into,1
woods,wood,1
hoping,hop,1
stop,stop,1
helena,helena,1
is,be,1
also,also,1
group,group,1
several,several,1
craftsmen,craftsman,1
rehearsing,rehearse,1
play,play,1
puck,puck,1
one,one,1
tricks,trick,1
each,each,1
character,character,1
falling,fall,1
first,first,1
person,person,1
he,he,1
she,she,1
sees,see,1
upon,upon,1
awakening,awaken,1
sorts,sort,1
humorous,humorous,1
confusion,confusion,1
cast,cast,1
characters,character,1
theseus,theseus,1
duke,duke,1
athens,athens,1
hippolyta,hippolyta,1
queen,queen,1
amazons,amazon,1
warrior,warrior,1
race,race,1
women,woman,1
defeated,defeat,1
battle,battle,1
egeus,egeus,1
an,an,1
citizen,citizen,1
daughter,daughter,1
man,man,1
friend,friend,1
peter,peter,1
quince,quince,1
carpenter,carpenter,1
nick,nick,1
bottom,bottom,1
weaver,weaver,1
francis,francis,1
flute,flute,1
robin,robin,1
starveling,starveling,1
tailor,tailor,1
tom,tom,1
snout,snout,1
tinker,tinker,1
mender,mender,1
pots,pot,1
pans,pan,1
snug,snug,1
joiner,joiner,1
cabinet,cabinet,1
maker,maker,1
goodfellow,goodfellow,1
fairy,fairy,1
oberon,oberon,1
king,king,1
titania,titania,1
peaseblossom,peaseblossom,1
cobweb,cobweb,1
moth,moth,1
mustardseed,mustardseed,1
four,four,1
serve,serve,1
philostrate,philostrate,1
servant,servant,1
along,along,1
their,their,1
servants,servant,1
enter,enter,1
palace,palace,1
now,now,1
fair,fair,1
our,our,1
wedding,wedding,1
hour,hour,1
draws,draw,1
near,near,1
more,more,1
days,day,1
time,time,1
seems,seem,1
go,go,1
so,so,1
slowly,slowly,1
will,will,1
quickly,quickly,1
become,become,1
nights,night,1
away,away,1
then,then,1
new,new,1
moon,moon,1
like,like,1
silver,silver,1
bow,bow,1
shall,shall,1
look,look,1
on,on,1
stir,stir,1
up,up,1
youth,youth,1
merry,merry,1
awaken,awaken,1
spirit,spirit,1
fun,fun,1
tell,tell,1
sadness,sadness,1
funerals,funeral,1
we,we,1
don,don,1
t,t,1
want,want,1
sad,sad,1
faces,face,1
at,at,1
exits,exit,1
i,i,1
wooed,wooed,1
you,you,1
my,my,1
sword,sword,1
heat,heat,1
won,won,1
your,your,1
while,while,1
defeating,defeat,1
but,but,1
wed,wed,1
different,different,1
celebration,celebration,1
joy,joy,1
good,good,1
times,time,1
his,his,1
respected,respect,1
thank,thank,1
news,news,1
am,be,1
having,have,1
trouble,trouble,1
child,child,1
has,have,1
consent,consent,1
marry,marry,1
her,her,1
have,have,1
spell,spell,1
turning,turn,1
given,give,1
poetry,poetry,1
exchanged,exchange,1
tokens,token,1
sung,sung,1
insincere,insincere,1
songs,song,1
window,window,1
moonlight,moonlight,1
rings,ring,1
flowers,flower,1
candy,candy,1
used,use,1
men,men,1
use,use,1
girls,girl,1
stolen,steal,1
heart,heart,1
made,make,1
disobedient,disobedient,1
me,me,1
refuses,refuse,1
claim,claim,1
ancient,ancient,1
right,right,1
as,a,1
father,father,1
mine,mine,1
give,give,1
choose,choose,1
send,send,1
death,death,1
law,law,1
land,land,1
know,know,1
do,do,1
say,say,1
let,let,1
remind,remind,1
maid,maid,1
should,should,1
god,god,1
formed,form,1
beauty,beauty,1
him,him,1
wax,wax,1
that,that,1
shaped,shape,1
it,it,1
within,within,1
leave,leave,1
destroy,destroy,1
himself,himself,1
case,case,1
because,because,1
wishes,wish,1
other,other,1
must,must,1
seen,see,1
better,well,1
wish,wish,1
saw,saw,1
eyes,eye,1
rather,rather,1
see,see,1
way,way,1
beg,beg,1
grace,grace,1
pardon,pardon,1
not,not,1
if,if,1
proper,proper,1
for,for,1
explain,explain,1
